block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
a_2-75-2,75,1,1,Kildonan Place,1434,1,11430_merged_62948
b_2-162-2,162,1,1,Downtown,1057,3,12127_merged_73003
a_2-14-5,14,1,0,South St. Vital via Dakota,954,1,9016_merged_69080
a_1-20-5,20,1,1,Airport Terminal,1179,4_merged_61272,2221_merged_69035
a_1-19-2,19,1,1,Windsor Park via Autumnwood,1156,4_merged_61272,1932_merged_64644
b_2-29-3,29,1,1,Logan,1237,3,9841_merged_74821
a_1-88-1,88,1,1,Cathedral & Main,1514,4_merged_61272,6871_merged_69955
a_1-162-29,12,1,1,City Hall,947,4_merged_61272,8107_merged_63903
a_1-89-2,89,1,1,Day & Regent,1519,4_merged_61272,6958_merged_68114
b_1-19-7,19,1,0,Red River College via Logan,1157,2_merged_61273,1973_merged_73390
b_2-11-3,11,1,0,Polo Park,888,3,8294
b_1-11-12,11,1,1,North Kildonan via Donwood,890,2_merged_61273,392
b_1-11-12,11,1,1,Glenway,889,2_merged_61273,396
b_1-11-12,11,1,0,Polo Park,888,2_merged_61273,395
b_1-11-12,11,1,1,Glenway,893,2_merged_61273,398
a_1-90-4,90,1,0,Kildonan Place,1525,4_merged_61272,7001_merged_64901
a_1-74-8,74,1,0,University of Manitoba,2204,4_merged_61272,6043_merged_69712
b_2-74-3,78,1,0,U of Manitoba via Cambridge,1469,3,11022_merged_73290
a_2-18-3,18,1,1,Tuxedo,1131,1,9478_merged_68001
a_1-24-2,24,1,1,City Hall,1219,4_merged_61272,2612_merged_64815
a_2-15-5,15,1,1,Mountain & Fife,974,1,9170_merged_62136
b_1-54-5,54,1,1,University of Winnipeg,1361,2_merged_61273,4540_merged_78983
b_2-33-5,33,1,0,Maples via Jefferson,1928,3,9968_merged_71044
b_1-46-3,46,1,0,Transcona via Regent,1320,2_merged_61273,4019_merged_74392
b_1-44-9,44,1,1,Broadway via London,1301,2_merged_61273,3748
a_1-42-2,181,1,1,Downtown,1143,4_merged_61272,3747
b_1-44-8,44,1,1,Broadway via London,1301,2_merged_61273,3742
b_1-44-8,44,1,0,Kildonan Place via Louelda,1300,2_merged_61273,3743
b_1-44-8,44,1,1,Broadway via Louelda,1303,2_merged_61273,3740
b_1-44-8,44,1,0,Kildonan Place via Louelda,1300,2_merged_61273,3741
a_2-93-1,93,1,1,St. Vital Centre,1537,1,12024_merged_66497
a_1-98-3,98,1,1,Grace Hospital,1572,4_merged_61272,7460_merged_65932
a_1-18-16,18,1,1,Tuxedo,1107,4_merged_61272,1824_merged_69204
b_1-44-2,44,1,0,Kildonan Place via London,1302,2_merged_61273,3692_merged_75602
a_1-185-1,47,1,1,Balmoral Station,1331,4_merged_61272,8382_merged_68459
a_2-10-1,10,1,0,St. Boniface via Tache,870,1,8517_merged_66566
a_2-55-2,55,1,1,U of Winnipeg via Dakota,1364,1,10849_merged_70177
a_1-12-1,11,1,0,Westwood,919,4_merged_61272,645_merged_67562
a_2-68-1,68,1,1,Stradbrook & Osborne,1419,1,11186_merged_67727
b_1-43-4,43,1,1,Assiniboine,1298,2_merged_61273,3652_merged_76266
a_1-109-1,91,1,1,Killarney & Pembina,1531,4_merged_61272,7603_merged_69980
a_2-92-1,92,1,1,Crossroads Station,1533,1,11987_merged_66652
a_2-21-4,21,1,0,St.Charles,1199,1,9887_merged_63383
