service_id,date,exception_type
18477-special,20190701,1
17018-special,20190701,1
17253-special,20190701,1
19307-special,20190701,1
18405-special,20190701,1
17745-special,20190701,1
17356-special,20190701,1
19266-special,20190701,1
18623-special,20190701,1
18061-special,20190701,1
19092-special,20190701,1
18475-special,20190701,1
17174-special,20190701,1
17078-special,20190701,1
17214-special,20190701,1
19261-special,20190701,1
17543-special,20190701,1
17689-special,20190701,1
19243-special,20190701,1
18679-special,20190701,1
17857-special,20190701,1
17275-special,20190701,1
17915-special,20190701,1
18412-special,20190701,1
17050-special,20190701,1
17200-special,20190701,1
19177-special,20190701,1
18548-special,20190701,1
18982-special,20190701,1
19087-special,20190701,1
17062-special,20190701,1
19299-special,20190701,1
17070-special,20190701,1
17992-special,20190701,1
18194-special,20190701,1
17866-special,20190701,1
17641-special,20190701,1
17498-special,20190701,1
17259-special,20190701,1
19282-special,20190701,1
17022-special,20190701,1
17113-special,20190701,1
19213-special,20190701,1
18253-special,20190701,1
18710-special,20190701,1
18196-special,20190701,1
17195-special,20190701,1
19174-special,20190701,1
18422-special,20190701,1
17025-special,20190701,1
18884-special,20190701,1
17588-special,20190701,1
17117-special,20190701,1
17999-special,20190701,1
17662-special,20190701,1
17333-special,20190701,1
19122-special,20190701,1
17575-special,20190701,1
18470-special,20190701,1
18232-special,20190701,1
17270-special,20190701,1
18237-special,20190701,1
18126-special,20190701,1
18518-special,20190701,1
17774-special,20190701,1
18298-special,20190701,1
17708-special,20190701,1
17827-special,20190701,1
17238-special,20190701,1
18878-special,20190701,1
18121-special,20190701,1
17960-special,20190701,1
18515-special,20190701,1
18136-special,20190701,1
18771-special,20190701,1
18218-special,20190701,1
17770-special,20190701,1
18509-special,20190701,1
18897-special,20190701,1
18460-special,20190701,1
18111-special,20190701,1
18811-special,20190701,1
18101-special,20190701,1
18442-special,20190701,1
17330-special,20190701,1
18002-special,20190701,1
18968-special,20190701,1
18498-special,20190701,1
18893-special,20190701,1
18598-special,20190701,1
19043-special,20190701,1
18755-special,20190701,1
19041-special,20190701,1
18365-special,20190701,1
18260-special,20190701,1
18530-special,20190701,1
18479-special,20190701,1
18193-special,20190701,1
18682-special,20190701,1
17147-special,20190701,1
18549-special,20190701,1
19306-special,20190701,1
19254-special,20190701,1
18959-special,20190701,1
18109-special,20190701,1
